LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
407;249200930;PORONIN;Bia≥y Dunajec;49 19 49;20 02 07;776
408;249200980;MSZANA DOLNA;Raba;49 39 49;20 03 16;440
409;249200990;WRONOWICE;£ososina;49 44 11;20 35 26;270
410;249190210;£ODYGOWICE;So≥a;49 43 27;19 09 37;375
411;249190670;POLANA CHOCHO£OWSKA;Dunajec;49 14 13;19 47 19;1 145
412;252170110;GNIEZNO;We≥na;52 33 27;17 31 55;170
413;249200570;TRZEMEåNIA;Raba;49 48 45;20 00 46;347
414;250160220;JEDLINA-ZDR”J;Jedlina;50 43 07;16 20 57;436
415;252170180;WRZEåNIA;Wrzeúnica;52 18 54;17 35 33;105
416;249200250;JASION”W;Raba;49 35 23;20 01 33;742
417;249210030;TUCH”W;Bia≥a;49 54 14;21 02 54;220
418;249220250;CISNA;Solinka;49 12 46;22 19 52;549
419;253200080;JEMIO£OWO;Pas≥Íka;53 33 42;20 17 58;175
420;351190465;£”Dè-LUBLINEK;Ner;51 43 06;19 23 14;174
421;250190180;PIWO—;Przemsza;50 28 59;19 15 04;295
422;250210110;RAK”W;Czarna;50 40 18;21 02 55;220
423;251150180;TOMASZ”W BOLES£AWIECKI;Bobrzyca;51 16 35;15 40 39;186
424;349190600;BIELSKO-BIA£A;Bia≥a;49 48 24;19 00 08;396
425;354170120;£EBA;£eba;54 45 13;17 32 05;2
426;253140040;TRZEBIEØ;Zalew SzczeciÒski;53 39 47;14 30 50;1
427;251150110;ØAGA—;BÛbr;51 38 59;15 17 37;96
428;250150080;STARA KAMIENICA;Kamienica;50 55 01;15 34 27;374
429;250150090;åWIERAD”W-ZDR”J;Kwisa;50 53 54;15 21 31;510
430;250180250;BRYNICA;Brynica;50 28 18;18 59 56;283
431;249190010;JAWISZOWICE;Wis≥a;49 57 35;19 08 31;244
432;253150020;WITNO;Cieúnina Dziwna;53 56 40;15 03 47;20
433;250190080;W•SOSZ;Pilica;50 44 15;19 41 09;230
434;254180130;GOR CZYNO;Radunia;54 15 43;18 09 45;169
435;253180170;NOWY JASINIEC;Brda;53 20 54;18 02 14;90
436;253170030;R”ØKI-D BIE;Brda;53 53 28;17 08 53;155
437;254160040;JEØYCZKI;Wieprza;54 20 05;16 23 26;10
438;254160060;SIERAKOWO;Wieprza;54 12 59;16 30 59;50
439;253160040;GRZMI•CA;ParsÍta;53 50 09;16 26 21;100
440;254160080;POLAN”W;Wieprza;54 07 07;16 40 59;80
441;250190160;LGOTA G”RNA;Warta;50 36 03;19 14 07;320
442;253180020;RADOSTOWO;Wis≥a;53 59 22;18 44 50;40
443;254170190;S£UPSK;S≥upia;54 27 48;17 02 08;17
444;253190260;OSTROWITE;DrwÍca;53 25 12;19 16 27;115
445;249180010;PSZCZYNA;Pszczynka;49 59 44;18 55 09;270
446;250150340;BOROWICE;Kacza;50 47 21;15 41 35;660
447;250150350;PODG”RZYN;PodgÛrna;50 49 32;15 41 15;385
448;252230110;HAJN”WKA;Leúna;52 43 57;23 33 37;163
449;252180080;KO£UDA WIELKA;NoteÊ;52 44 09;18 08 56;85
450;252170210;K”RNIK;Warta;52 14 43;17 06 07;75
451;252150050;KRZYØ;NoteÊ;52 52 52;15 59 01;30
452;252160160;PAPRO∆;Obra;52 18 16;16 10 59;80
453;252160230;WIELICHOWO;Obra;52 06 50;16 21 23;65
