year,month,voivodeship,temperature,humidity
2018,07,pomorskie,21.24516129032258,78.03225806451613
2018,08,pomorskie,18.73548387096774,80.83870967741936
2018,09,pomorskie,12.186206896551724,87.75862068965517
2018,10,pomorskie,5.244827586206896,93.58620689655173
2018,11,pomorskie,2.0933333333333333,94.0
2018,12,pomorskie,0.5516129032258065,93.38709677419355
2019,01,pomorskie,-2.1766666666666667,92.63333333333334
2019,02,pomorskie,0.16785714285714287,90.35714285714286
2019,03,pomorskie,2.1129032258064515,89.93548387096774
2019,04,pomorskie,7.456666666666666,64.96666666666667
2019,07,pomorskie,18.219354838709677,82.58064516129032
2019,08,pomorskie,17.529032258064515,81.25806451612904
2019,09,pomorskie,11.533333333333333,89.2
2019,10,pomorskie,7.141935483870968,95.09677419354838
2019,11,pomorskie,3.472413793103448,97.0
2019,12,pomorskie,1.2166666666666666,94.0
2020,01,pomorskie,1.1419354838709677,95.64516129032258
2020,02,pomorskie,1.5565217391304347,92.17391304347827
2020,03,pomorskie,1.210344827586207,82.6896551724138
2020,04,pomorskie,6.5633333333333335,70.96666666666667
2020,05,pomorskie,11.490322580645161,79.41935483870968
2020,06,pomorskie,19.426666666666666,81.96666666666667
2020,07,pomorskie,17.780645161290323,82.25806451612904
2020,08,pomorskie,17.16774193548387,81.58064516129032
2020,09,pomorskie,11.346666666666666,96.06666666666666
2020,10,pomorskie,7.867741935483871,98.19354838709677
2020,11,pomorskie,4.88,92.1
2020,12,pomorskie,0.5677419354838709,92.12903225806451
2021,01,pomorskie,-2.4322580645161294,92.25806451612904
2021,02,pomorskie,-6.134782608695652,90.69565217391305
2021,03,pomorskie,-0.0933333333333333,91.53333333333333
2021,04,pomorskie,4.983333333333333,79.03333333333333
2021,05,pomorskie,11.348387096774195,76.41935483870968
2021,06,pomorskie,21.646666666666665,64.83333333333333
2021,07,pomorskie,19.913333333333334,83.03333333333333
2021,08,pomorskie,14.851851851851851,86.74074074074075
2021,09,pomorskie,11.04814814814815,92.07407407407408
2021,10,pomorskie,5.473333333333333,94.76666666666667
2021,11,pomorskie,3.7800000000000002,95.33333333333333
2021,12,pomorskie,-2.170967741935484,95.96774193548387
2022,01,pomorskie,-0.2548387096774193,93.45161290322581
2022,02,pomorskie,-0.13214285714285712,91.85714285714286
2022,03,pomorskie,-2.1322580645161286,85.16129032258064
2022,04,pomorskie,4.946666666666667,78.73333333333333
2022,05,pomorskie,11.51290322580645,74.03225806451613
2022,06,pomorskie,17.521428571428572,73.67857142857143
2022,07,pomorskie,17.151851851851852,78.62962962962963
2022,08,pomorskie,18.43548387096774,81.74193548387096
2022,09,pomorskie,9.08,92.03333333333333
2022,10,pomorskie,8.080645161290322,95.61290322580645
2022,11,pomorskie,2.9433333333333334,94.2
2022,12,pomorskie,-2.096774193548387,95.35483870967742
2018,01,opolskie,0.9516129032258065,82.45161290322581
2018,02,opolskie,-4.680769230769231,83.84615384615384
2018,03,opolskie,-1.1333333333333333,81.36666666666666
2018,04,opolskie,12.356666666666666,71.73333333333333
2018,05,opolskie,16.870967741935484,75.87096774193549
2018,06,opolskie,18.586206896551722,77.51724137931035
2018,07,opolskie,20.216129032258067,75.38709677419355
2018,08,opolskie,20.52258064516129,76.93548387096774
2018,09,opolskie,13.413333333333332,86.56666666666666
2018,10,opolskie,7.783870967741936,85.45161290322581
2018,11,opolskie,3.1599999999999997,87.3
2018,12,opolskie,1.396774193548387,87.96774193548387
2019,01,opolskie,-1.82,86.7
2019,02,opolskie,-0.25000000000000006,84.32142857142857
2019,03,opolskie,3.5387096774193547,82.70967741935483
2019,04,opolskie,8.47,73.4
2019,07,opolskie,19.738709677419354,72.96774193548387
2019,08,opolskie,19.6,81.3225806451613
2019,09,opolskie,12.763333333333332,86.56666666666666
2019,10,opolskie,7.635483870967742,90.6774193548387
2019,11,opolskie,5.3533333333333335,87.4
2019,12,opolskie,2.206451612903226,84.35483870967742
2020,01,opolskie,-0.32258064516129037,87.09677419354838
2020,02,opolskie,3.072413793103448,81.72413793103448
2020,03,opolskie,2.0580645161290323,80.80645161290323
2020,04,opolskie,7.760000000000001,65.13333333333334
2020,05,opolskie,11.361290322580645,77.41935483870968
2020,06,opolskie,17.473333333333336,86.4
2020,07,opolskie,18.9,78.70967741935483
2020,08,opolskie,19.45483870967742,82.93548387096774
2020,09,opolskie,13.613333333333333,92.13333333333334
2020,10,opolskie,9.029032258064515,92.61290322580645
2020,11,opolskie,4.096666666666667,89.6
2020,12,opolskie,1.5,87.96774193548387
2021,01,opolskie,-1.0612903225806452,90.61290322580645
2021,02,opolskie,-2.867857142857143,87.32142857142857
2021,03,opolskie,1.506451612903226,84.35483870967742
2021,04,opolskie,5.6066666666666665,79.0
2021,05,opolskie,12.63225806451613,74.51612903225806
2021,06,opolskie,20.783333333333335,74.3
2021,07,opolskie,20.567741935483873,81.03225806451613
2021,08,opolskie,16.929032258064513,86.83870967741936
2021,09,opolskie,12.966666666666667,88.76666666666667
2021,10,opolskie,6.270967741935484,85.06451612903226
2021,11,opolskie,3.37,88.16666666666667
2021,12,opolskie,-0.6580645161290323,88.38709677419355
2022,01,opolskie,0.34838709677419355,84.80645161290323
2022,02,opolskie,2.1821428571428574,80.21428571428571
2022,03,opolskie,-0.45161290322580644,79.0
2022,04,opolskie,5.943333333333333,80.96666666666667
2022,05,opolskie,15.348387096774195,69.19354838709677
2022,06,opolskie,20.18,74.4
2022,07,opolskie,20.238709677419354,70.96774193548387
2022,08,opolskie,19.654838709677417,85.54838709677419
2022,09,opolskie,11.55,89.33333333333333
2022,10,opolskie,8.23225806451613,90.58064516129032
2022,11,opolskie,2.64,92.0
2022,12,opolskie,-0.003225806451612892,87.96774193548387
2018,01,świętokrzyskie,-1.3838709677419354,88.74193548387096
2018,02,świętokrzyskie,-5.885714285714286,89.0
2018,03,świętokrzyskie,-2.7733333333333334,86.96666666666667
2018,04,świętokrzyskie,13.466666666666667,78.7
2018,05,świętokrzyskie,20.393548387096775,67.87096774193549
2018,06,świętokrzyskie,20.153333333333332,73.56666666666666
2018,07,świętokrzyskie,20.39032258064516,77.35483870967742
2018,08,świętokrzyskie,20.04516129032258,82.80645161290323
2018,09,świętokrzyskie,12.913333333333332,90.6
2018,10,świętokrzyskie,6.238709677419355,91.90322580645162
2018,11,świętokrzyskie,1.3033333333333332,93.36666666666666
2018,12,świętokrzyskie,-0.2903225806451613,93.96774193548387
2019,01,świętokrzyskie,-4.27,90.06666666666666
2019,02,świętokrzyskie,-0.9214285714285715,88.92857142857143
2019,03,świętokrzyskie,2.232258064516129,86.7741935483871
2019,04,świętokrzyskie,8.53,69.66666666666667
2019,07,świętokrzyskie,18.863333333333333,76.4
2019,08,świętokrzyskie,18.205882352941178,89.11764705882354
2019,09,świętokrzyskie,12.370000000000001,89.8
2019,10,świętokrzyskie,6.7444444444444445,96.05555555555556
2019,11,świętokrzyskie,4.635294117647058,93.29411764705883
2019,12,świętokrzyskie,-0.0857142857142857,90.89285714285714
2020,01,świętokrzyskie,-1.238709677419355,91.96774193548387
2020,02,świętokrzyskie,0.6310344827586207,90.75862068965517
2020,03,świętokrzyskie,1.2096774193548387,80.35483870967742
2020,04,świętokrzyskie,7.510000000000001,65.4
2020,05,świętokrzyskie,11.383870967741935,77.83870967741936
2020,06,świętokrzyskie,18.483333333333334,85.56666666666666
2020,07,świętokrzyskie,18.980645161290322,80.51612903225806
2020,08,świętokrzyskie,20.112903225806452,77.54838709677419
2020,09,świętokrzyskie,12.370000000000001,92.93333333333334
2020,10,świętokrzyskie,7.800000000000001,92.25806451612904
2020,11,świętokrzyskie,2.996666666666667,92.83333333333333
2020,12,świętokrzyskie,0.06451612903225803,91.29032258064517
2021,01,świętokrzyskie,-3.7193548387096773,90.6774193548387
2021,02,świętokrzyskie,-5.364285714285714,88.21428571428571
2021,03,świętokrzyskie,-0.08064516129032258,87.83870967741936
2021,04,świętokrzyskie,5.283333333333333,81.8
2021,05,świętokrzyskie,12.774193548387096,75.06451612903226
2021,06,świętokrzyskie,21.493333333333332,69.9
2021,07,świętokrzyskie,21.629032258064516,80.09677419354838
2021,08,świętokrzyskie,15.687096774193549,91.70967741935483
2021,09,świętokrzyskie,11.446666666666665,90.06666666666666
2021,10,świętokrzyskie,5.354838709677419,88.03225806451613
2021,11,świętokrzyskie,2.393333333333333,93.16666666666667
2021,12,świętokrzyskie,-2.57741935483871,90.70967741935483
2022,01,świętokrzyskie,-1.0366666666666666,86.13333333333334
2022,02,świętokrzyskie,-0.021428571428571463,82.10714285714286
