year,month,voivodeship,incidents
2020,11,dolnośląskie,2782
2020,12,dolnośląskie,3568
2020,01,kujawsko-pomorskie,2247
2020,02,kujawsko-pomorskie,2093
2020,03,kujawsko-pomorskie,1659
2020,04,kujawsko-pomorskie,1277
2020,05,kujawsko-pomorskie,1795
2020,06,kujawsko-pomorskie,2217
2020,07,kujawsko-pomorskie,2211
2020,08,kujawsko-pomorskie,2416
2020,09,kujawsko-pomorskie,2479
2020,10,kujawsko-pomorskie,2255
2020,11,kujawsko-pomorskie,1868
2020,12,kujawsko-pomorskie,2344
2020,01,lubelskie,1531
2020,02,lubelskie,1556
2020,03,lubelskie,1135
2020,04,lubelskie,943
2020,05,lubelskie,1338
2020,06,lubelskie,1525
2020,07,lubelskie,1682
2020,08,lubelskie,1748
2020,09,lubelskie,1831
2020,10,lubelskie,1645
2020,11,lubelskie,1295
2020,12,lubelskie,1618
2020,01,lubuskie,960
2020,02,lubuskie,989
2020,03,lubuskie,778
2020,04,lubuskie,556
2020,05,lubuskie,784
2020,06,lubuskie,936
2020,07,lubuskie,1008
2020,08,lubuskie,1011
2020,09,lubuskie,1012
2020,10,lubuskie,995
2020,11,lubuskie,788
2020,12,lubuskie,1010
2020,01,mazowieckie,5787
2020,02,mazowieckie,5467
2020,03,mazowieckie,4304
2020,04,mazowieckie,3391
2020,05,mazowieckie,4648
2020,06,mazowieckie,5434
2020,07,mazowieckie,5605
2020,08,mazowieckie,5684
2020,09,mazowieckie,6197
2020,10,mazowieckie,5595
2020,11,mazowieckie,4393
2020,12,mazowieckie,5362
2020,01,małopolskie,2992
2020,02,małopolskie,2751
2020,03,małopolskie,1991
2020,04,małopolskie,1502
2020,05,małopolskie,2196
2020,06,małopolskie,2453
2020,07,małopolskie,2817
2020,08,małopolskie,2700
2020,09,małopolskie,2962
2020,10,małopolskie,2608
2020,11,małopolskie,2140
2020,12,małopolskie,2911
2020,01,opolskie,837
2020,02,opolskie,764
2020,03,opolskie,620
2020,04,opolskie,484
2020,05,opolskie,675
2020,06,opolskie,797
2020,07,opolskie,858
2020,08,opolskie,924
2020,09,opolskie,912
2020,10,opolskie,927
2020,11,opolskie,711
2020,12,opolskie,896
2020,01,podkarpackie,1491
2020,02,podkarpackie,1453
2020,03,podkarpackie,1127
2020,04,podkarpackie,910
2020,05,podkarpackie,1305
2020,06,podkarpackie,1463
2020,07,podkarpackie,1576
2020,08,podkarpackie,1723
2020,09,podkarpackie,1753
2020,10,podkarpackie,1549
2020,11,podkarpackie,1270
2020,12,podkarpackie,1631
2020,01,podlaskie,997
2020,02,podlaskie,1059
2020,03,podlaskie,823
2020,04,podlaskie,614
2020,05,podlaskie,817
2020,06,podlaskie,1053
2020,07,podlaskie,1138
2020,08,podlaskie,1198
2020,09,podlaskie,1128
2020,10,podlaskie,1036
2020,11,podlaskie,836
2020,12,podlaskie,1049
2020,01,pomorskie,2238
2020,02,pomorskie,2211
2020,03,pomorskie,1753
2020,04,pomorskie,1281
2020,05,pomorskie,1852
2020,06,pomorskie,2398
2020,07,pomorskie,2613
2020,08,pomorskie,2715
2020,09,pomorskie,2431
2020,10,pomorskie,2177
2020,11,pomorskie,1856
2020,12,pomorskie,2306
2020,01,warmińsko-mazurskie,1333
2020,02,warmińsko-mazurskie,1277
2020,03,warmińsko-mazurskie,986
